country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Serbia,15.9,15.0,12.0,10.2,8.9,7.6,7.1,7.9,7.8,7.7,7.2,6.8,6.6,6.5,2.3
Seychelles,,,31.7,32.2,29.7,26.8,19.2,16.8,15.4,13.8,16.0,15.2,14.2,13.4,13.2
Sierra Leone,1540.0,1490.0,983.0,1310.0,1180.0,146.0,119.0,111.0,93.3,80.4,44.1,37.9,44.2,30.3,36.2
Singapore,1.0,1.0,0.9,0.8,0.8,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5
Slovak Republic,9.4,5.7,5.0,4.8,4.2,3.3,2.0,1.9,1.8,1.8,1.5,1.5,1.5,1.2,1.1
Slovenia,14.8,13.5,12.0,9.4,8.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,146.0,122.0,136.0,117.0,102.0,93.5,70.1,78.5,54.5,47.9,47.5,35.5,31.4,28.5,28.9
Somalia,,,,,,,,,,,,,180.0,177.0,204.0
South Africa,9.4,9.1,8.6,6.9,7.1,6.0,5.9,6.0,0.3,0.3,0.3,0.3,0.3,0.2,0.2
South Korea,18.4,15.7,15.7,18.2,17.1,16.9,14.7,14.7,14.6,14.6,14.6,14.5,14.5,14.6,14.6
South Sudan,,,,,,,,,,192.0,372.0,242.0,330.0,422.0,305.0
Spain,16.8,17.0,16.5,16.2,15.1,14.9,15.0,15.1,4.7,5.0,5.0,5.3,5.2,5.0,4.8
Sri Lanka,59.3,52.8,50.0,43.7,19.7,47.0,41.9,33.9,30.1,26.6,26.1,20.7,18.7,12.2,10.4
St. Kitts and Nevis,,,26.8,24.4,20.7,11.9,11.3,11.3,11.5,9.1,8.7,8.7,7.9,7.2,7.2
St. Lucia,,,27.9,25.9,23.7,22.6,21.8,23.8,24.4,17.8,18.6,22.9,22.4,21.4,21.5
St. Vincent and the Grenadines,,,35.7,33.8,29.2,26.8,21.0,21.2,22.3,17.9,17.2,16.7,16.5,16.1,15.8
Sudan,,102.0,89.5,58.6,57.3,50.8,37.6,48.7,44.2,27.8,28.1,25.1,14.8,30.5,27.8
Suriname,,,161.0,150.0,138.0,120.0,117.0,115.0,109.0,105.0,102.0,100.0,101.0,101.0,97.8
Sweden,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5
Switzerland,8.9,8.9,9.0,2.5,2.4,2.4,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.3
Syria,34.5,34.2,34.5,21.1,55.7,18.2,27.8,38.1,17.1,15.6,12.5,14.4,8.5,8.9,7.9
Tajikistan,,,85.1,75.1,39.6,27.6,24.3,36.9,33.3,27.1,25.6,23.3,21.5,16.8,19.3
Tanzania,377.0,350.0,303.0,222.0,156.0,137.0,122.0,102.0,94.7,86.5,75.2,73.8,51.8,48.1,42.9
Thailand,18.8,18.4,17.3,16.3,16.2,14.7,17.1,7.7,7.0,6.7,6.7,6.6,6.7,6.6,6.2
Timor-Leste,,155.0,125.0,88.0,13.1,6.9,5.8,5.7,5.0,2.9,2.9,0.3,0.3,0.5,0.5
